TimeStamp,Type,Price,Quantity,Profit/Loss,TotalCost,BaselineVolume,EndVolume,BaselineVolumeMean,EndVolumeMean
2024-01-03 15:26:00,long,1465.2,6,0.0,8791.2,133051,47870,1108.76,4787.0
2024-01-04 09:15:00,close,1460.0,6,-31.2,8760.0,0,0,0.0,0.0
2024-01-20 15:26:00,short,1524.0,6,0.0,9144.0,67022,23359,558.52,2335.9
2024-01-20 15:29:00,close,1525.0,6,-6.0,9150.0,0,0,0.0,0.0
2024-02-13 15:26:00,long,1587.95,6,0.0,9527.7,403136,141462,3359.47,14146.2
2024-02-14 09:15:00,close,1559.85,6,-168.6,9359.1,0,0,0.0,0.0
2024-02-19 15:26:00,short,1626.4,6,0.0,9758.4,183560,68278,1529.67,6827.8
2024-02-19 15:29:00,close,1627.85,6,-8.7,9767.1,0,0,0.0,0.0
2024-02-21 15:26:00,short,1564.75,6,0.0,9388.5,271886,105572,2265.72,10557.2
2024-02-21 15:29:00,close,1572.0,6,-43.5,9432.0,0,0,0.0,0.0
2024-02-27 15:26:00,long,1580.55,6,0.0,9483.3,93384,47233,778.2,4723.3
2024-02-28 09:30:00,close,1568.16,6,-74.34,9408.96,0,0,0.0,0.0
2024-02-29 15:26:00,long,1580.05,6,0.0,9480.3,310021,121351,2583.51,12135.1
2024-03-01 09:48:00,close,1579.94,6,-0.65,9479.65,0,0,0.0,0.0
2024-03-07 15:26:00,short,1492.45,6,0.0,8954.7,90136,56741,751.13,5674.1
2024-03-07 15:29:00,close,1495.0,6,-15.3,8970.0,0,0,0.0,0.0
2024-03-15 15:26:00,long,1432.6,6,0.0,8595.6,1570790,820305,13089.92,82030.5
2024-03-15 15:28:00,close,1431.7,6,-5.4,8590.2,0,0,0.0,0.0
2024-04-02 15:26:00,long,1513.4,6,0.0,9080.4,292374,134162,2436.45,13416.2
2024-04-03 15:26:00,long,1506.7,6,0.0,9040.2,230637,81243,1921.98,8124.3
2024-04-03 09:15:00,close,1504.8,6,-51.6,9028.8,0,0,0.0,0.0
2024-04-04 09:17:00,close,1502.42,6,-25.66,9014.54,0,0,0.0,0.0
2024-04-10 15:26:00,long,1490.0,6,0.0,8940.0,147136,63099,1226.13,6309.9
2024-04-12 09:15:00,close,1475.1,6,-89.4,8850.6,0,0,0.0,0.0
2024-04-16 15:26:00,short,1408.85,7,0.0,9861.95,106490,37344,887.42,3734.4
2024-04-16 15:29:00,close,1410.0,7,-8.05,9870.0,0,0,0.0,0.0
2024-04-24 15:26:00,short,1370.4,7,0.0,9592.8,272842,134648,2273.68,13464.8
2024-04-24 15:29:00,close,1371.8,7,-9.8,9602.6,0,0,0.0,0.0
2024-04-25 15:26:00,short,1373.5,7,0.0,9614.5,114085,97296,950.71,9729.6
2024-04-25 15:29:00,close,1373.0,7,3.5,9611.0,0,0,0.0,0.0
2024-05-06 15:26:00,short,1522.25,6,0.0,9133.5,108896,59080,907.47,5908.0
2024-05-06 15:29:00,close,1516.8,6,32.7,9100.8,0,0,0.0,0.0
2024-05-10 15:26:00,long,1468.1,6,0.0,8808.6,104033,43983,866.94,4398.3
2024-05-13 09:15:00,close,1458.27,6,-58.98,8749.62,0,0,0.0,0.0
2024-05-14 15:26:00,long,1504.85,6,0.0,9029.1,205166,96934,1709.72,9693.4
2024-05-15 09:15:00,close,1493.91,6,-65.64,8963.46,0,0,0.0,0.0
2024-05-23 15:26:00,short,1505.05,6,0.0,9030.3,129326,57909,1077.72,5790.9
2024-05-23 15:29:00,close,1501.0,6,24.3,9006.0,0,0,0.0,0.0
2024-05-27 15:26:00,long,1548.95,6,0.0,9293.7,253194,118048,2109.95,11804.8
2024-05-28 15:26:00,short,1502.95,5,0.0,7514.75,123570,54214,1029.75,5421.4
2024-05-28 09:19:00,close,1549.35,6,2.4,9296.1,0,0,0.0,0.0
2024-05-28 15:29:00,close,1503.0,5,-0.25,7515.0,0,0,0.0,0.0
2024-06-11 15:26:00,short,1477.15,6,0.0,8862.9,254371,104779,2119.76,10477.9
2024-06-11 15:28:00,close,1488.54,6,-68.33,8931.23,0,0,0.0,0.0
2024-06-14 15:26:00,short,1480.4,6,0.0,8882.4,121269,41285,1010.58,4128.5
2024-06-14 15:29:00,close,1478.9,6,9.0,8873.4,0,0,0.0,0.0
2024-06-21 15:26:00,long,1587.9,6,0.0,9527.4,355000,129035,2958.33,12903.5
2024-06-24 09:15:00,close,1582.86,6,-30.23,9497.17,0,0,0.0,0.0
2024-06-25 15:26:00,long,1585.95,6,0.0,9515.7,145549,51581,1212.91,5158.1
2024-06-26 15:26:00,long,1600.05,5,0.0,8000.25,137821,53098,1148.51,5309.8
2024-06-26 09:52:00,close,1585.98,6,0.18,9515.88,0,0,0.0,0.0
2024-06-27 09:15:00,close,1590.0,5,-50.25,7950.0,0,0,0.0,0.0
2024-07-15 15:26:00,long,1836.9,5,0.0,9184.5,292583,134485,2438.19,13448.5
2024-07-16 09:18:00,close,1837.98,5,5.42,9189.92,0,0,0.0,0.0
2024-07-25 15:26:00,long,1785.8,5,0.0,8929.0,303497,184627,2529.14,18462.7
2024-07-26 09:15:00,close,1791.9,5,30.5,8959.5,0,0,0.0,0.0
2024-08-02 15:26:00,long,1820.0,5,0.0,9100.0,137406,49266,1145.05,4926.6
2024-08-05 09:15:00,close,1769.55,5,-252.25,8847.75,0,0,0.0,0.0
2024-08-07 15:26:00,long,1741.85,5,0.0,8709.25,112128,52635,934.4,5263.5
2024-08-08 09:15:00,close,1754.28,5,62.15,8771.4,0,0,0.0,0.0
2024-08-09 15:26:00,short,1755.0,5,0.0,8775.0,140410,56069,1170.08,5606.9
2024-08-09 15:29:00,close,1764.95,5,-49.75,8824.75,0,0,0.0,0.0
2024-08-21 15:26:00,long,1834.6,5,0.0,9173.0,61763,23996,514.69,2399.6
2024-08-22 15:26:00,long,1834.4,4,0.0,7337.6,52761,20161,439.68,2016.1
2024-08-22 11:54:00,close,1850.26,5,78.3,9251.3,0,0,0.0,0.0
2024-08-23 15:26:00,long,1832.4,5,0.0,9162.0,81281,61799,677.34,6179.9
2024-08-23 09:16:00,close,1825.56,4,-35.36,7302.24,0,0,0.0,0.0
2024-08-23 15:29:00,close,1835.71,5,16.54,9178.54,0,0,0.0,0.0
2024-08-27 15:26:00,long,1861.65,5,0.0,9308.25,150638,60544,1255.32,6054.4
2024-08-28 09:31:00,close,1856.25,5,-27.0,9281.25,0,0,0.0,0.0
2024-08-30 15:26:00,long,1819.05,5,0.0,9095.25,209950,85841,1749.58,8584.1
2024-09-02 09:15:00,close,1806.75,5,-61.5,9033.75,0,0,0.0,0.0
2024-09-09 15:26:00,long,1760.95,5,0.0,8804.75,138561,50480,1154.68,5048.0
2024-09-10 09:17:00,close,1757.2,5,-18.75,8786.0,0,0,0.0,0.0
2024-09-12 15:26:00,short,1837.0,5,0.0,9185.0,193307,67550,1610.89,6755.0
2024-09-12 15:29:00,close,1833.05,5,19.75,9165.25,0,0,0.0,0.0
2024-09-19 15:26:00,long,1673.1,5,0.0,8365.5,183880,66511,1532.33,6651.1
2024-09-20 09:16:00,close,1677.51,5,22.03,8387.53,0,0,0.0,0.0
2024-09-27 15:26:00,long,1672.1,5,0.0,8360.5,215293,83946,1794.11,8394.6
2024-09-30 09:15:00,close,1637.8,5,-171.5,8189.0,0,0,0.0,0.0
2024-10-16 15:26:00,short,1757.25,5,0.0,8786.25,159084,63928,1325.7,6392.8
2024-10-16 15:29:00,close,1759.9,5,-13.25,8799.5,0,0,0.0,0.0
2024-12-12 15:26:00,long,1547.1,6,0.0,9282.6,169763,111597,1414.69,11159.7
2024-12-13 09:15:00,close,1534.45,6,-75.9,9206.7,0,0,0.0,0.0
2024-12-20 15:26:00,long,1452.85,6,0.0,8717.1,391723,134392,3264.36,13439.2
2024-12-20 15:29:00,close,1439.01,6,-83.01,8634.09,0,0,0.0,0.0
2024-12-27 15:26:00,short,1458.5,6,0.0,8751.0,78239,28748,651.99,2874.8
2024-12-27 15:29:00,close,1462.0,6,-21.0,8772.0,0,0,0.0,0.0
2024-12-30 15:26:00,long,1478.15,6,0.0,8868.9,337496,131612,2812.47,13161.2
2024-12-30 15:28:00,close,1463.37,6,-88.69,8780.21,0,0,0.0,0.0
