TimeStamp,Type,Price,Quantity,Profit/Loss,TotalCost,BaselineVolume,EndVolume,BaselineVolumeMean,EndVolumeMean
2024-01-01 15:26:00,short,270.35,36,0.0,9732.6,2475715,878638,20630.96,87863.8
2024-01-01 15:29:00,close,270.8,36,-16.2,9748.8,0,0,0.0,0.0
2024-01-02 15:26:00,long,269.3,37,0.0,9964.1,1997544,473313,16646.2,47331.3
2024-01-03 15:26:00,long,266.1,33,0.0,8781.3,1696610,576821,14138.42,57682.1
2024-01-03 09:18:00,close,267.2,37,-77.66,9886.44,0,0,0.0,0.0
2024-01-04 09:24:00,close,271.45,33,176.55,8957.85,0,0,0.0,0.0
2024-01-08 15:26:00,long,269.3,37,0.0,9964.1,5654456,1293586,47120.47,129358.6
2024-01-09 15:26:00,short,269.65,33,0.0,8898.45,1791712,324309,14930.93,32430.9
2024-01-09 09:34:00,close,271.56,37,83.51,10047.61,0,0,0.0,0.0
2024-01-09 15:29:00,close,269.5,33,4.95,8893.5,0,0,0.0,0.0
2024-01-10 15:26:00,short,268.75,37,0.0,9943.75,2326052,299589,19383.77,29958.9
2024-01-10 15:29:00,close,269.0,37,-9.25,9953.0,0,0,0.0,0.0
2024-01-11 15:26:00,long,266.1,37,0.0,9845.7,954613,224004,7955.11,22400.4
2024-01-12 15:26:00,short,262.25,34,0.0,8916.5,1096270,424603,9135.58,42460.3
2024-01-12 10:43:00,close,265.77,37,-12.38,9833.32,0,0,0.0,0.0
2024-01-12 15:29:00,close,262.3,34,-1.7,8918.2,0,0,0.0,0.0
2024-01-15 15:26:00,short,256.55,39,0.0,10005.45,1186949,418783,9891.24,41878.3
2024-01-15 15:29:00,close,257.0,39,-17.55,10023.0,0,0,0.0,0.0
2024-01-16 15:26:00,short,266.0,37,0.0,9842.0,3815171,477332,31793.09,47733.2
2024-01-16 15:29:00,close,264.25,37,64.75,9777.25,0,0,0.0,0.0
2024-01-17 15:26:00,long,259.5,38,0.0,9861.0,1660486,348598,13837.38,34859.8
2024-01-18 15:26:00,long,254.7,35,0.0,8914.5,1286893,393942,10724.11,39394.2
2024-01-18 09:15:00,close,258.19,38,-49.7,9811.3,0,0,0.0,0.0
2024-01-19 15:26:00,long,265.0,34,0.0,9010.0,2141125,490940,17842.71,49094.0
2024-01-19 09:32:00,close,257.05,35,82.37,8996.87,0,0,0.0,0.0
2024-01-20 15:26:00,long,271.05,33,0.0,8944.65,1915147,448095,15959.56,44809.5
2024-01-20 09:25:00,close,265.57,34,19.3,9029.3,0,0,0.0,0.0
2024-01-23 15:26:00,short,258.5,35,0.0,9047.5,2954324,463200,24619.37,46320.0
2024-01-23 09:16:00,close,270.27,33,-25.74,8918.91,0,0,0.0,0.0
2024-01-23 15:29:00,close,260.0,35,-52.5,9100.0,0,0,0.0,0.0
2024-01-25 15:26:00,short,281.8,35,0.0,9863.0,3280773,746710,27339.78,74671.0
2024-01-25 15:29:00,close,281.9,35,-3.5,9866.5,0,0,0.0,0.0
2024-01-29 15:26:00,long,283.95,35,0.0,9938.25,2061628,504217,17180.23,50421.7
2024-01-30 15:26:00,long,286.0,31,0.0,8866.0,2067723,431086,17231.03,43108.6
2024-01-30 09:33:00,close,289.82,35,205.54,10143.79,0,0,0.0,0.0
2024-01-31 15:26:00,short,289.0,31,0.0,8959.0,1310487,386064,10920.72,38606.4
2024-01-31 09:52:00,close,292.54,31,202.9,9068.9,0,0,0.0,0.0
2024-01-31 15:29:00,close,289.8,31,-24.8,8983.8,0,0,0.0,0.0
2024-02-01 15:26:00,short,292.25,34,0.0,9936.5,2773909,597276,23115.91,59727.6
2024-02-01 15:29:00,close,292.0,34,8.5,9928.0,0,0,0.0,0.0
2024-02-06 15:26:00,short,297.4,33,0.0,9814.2,2078771,306327,17323.09,30632.7
2024-02-06 15:29:00,close,298.05,33,-21.45,9835.65,0,0,0.0,0.0
2024-02-07 15:26:00,short,295.5,34,0.0,10047.0,609266,311556,5077.22,31155.6
2024-02-07 15:29:00,close,297.0,34,-51.0,10098.0,0,0,0.0,0.0
2024-02-08 15:26:00,short,289.0,34,0.0,9826.0,963062,518048,8025.52,51804.8
2024-02-08 15:29:00,close,289.0,34,0.0,9826.0,0,0,0.0,0.0
2024-02-09 15:26:00,short,270.0,37,0.0,9990.0,2563744,541076,21364.53,54107.6
2024-02-09 15:29:00,close,270.5,37,-18.5,10008.5,0,0,0.0,0.0
2024-02-12 15:26:00,short,239.7,41,0.0,9827.7,3476569,1022085,28971.41,102208.5
2024-02-12 15:29:00,close,238.8,41,36.9,9790.8,0,0,0.0,0.0
2024-02-13 15:26:00,long,252.4,39,0.0,9843.6,3342968,689385,27858.07,68938.5
2024-02-14 15:26:00,long,259.45,34,0.0,8821.3,3984518,792798,33204.32,79279.8
2024-02-14 09:15:00,close,239.1,39,-518.7,9324.9,0,0,0.0,0.0
2024-02-15 15:26:00,long,257.0,35,0.0,8995.0,1181316,439335,9844.3,43933.5
2024-02-15 09:15:00,close,261.86,34,81.77,8903.07,0,0,0.0,0.0
2024-02-16 15:26:00,short,257.85,35,0.0,9024.75,421806,227986,3515.05,22798.6
2024-02-16 09:37:00,close,259.88,35,100.62,9095.62,0,0,0.0,0.0
2024-02-16 15:29:00,close,258.6,35,-26.25,9051.0,0,0,0.0,0.0
2024-02-19 15:26:00,short,254.95,39,0.0,9943.05,1076392,206899,8969.93,20689.9
2024-02-19 15:29:00,close,255.0,39,-1.95,9945.0,0,0,0.0,0.0
2024-02-20 15:26:00,short,249.75,40,0.0,9990.0,1032805,272024,8606.71,27202.4
2024-02-20 15:29:00,close,250.0,40,-10.0,10000.0,0,0,0.0,0.0
2024-02-21 15:26:00,long,247.1,40,0.0,9884.0,2735987,397643,22799.89,39764.3
2024-02-22 15:26:00,long,262.85,34,0.0,8936.9,6581824,1077822,54848.53,107782.2
2024-02-22 09:15:00,close,249.0,40,76.0,9960.0,0,0,0.0,0.0
2024-02-23 15:26:00,long,263.25,34,0.0,8950.5,1059765,344171,8831.38,34417.1
2024-02-23 09:17:00,close,263.49,34,21.71,8958.61,0,0,0.0,0.0
2024-02-26 15:26:00,long,262.6,34,0.0,8928.4,933033,229760,7775.28,22976.0
2024-02-26 09:24:00,close,264.33,34,36.72,8987.22,0,0,0.0,0.0
2024-02-27 15:26:00,long,253.45,36,0.0,9124.2,2577998,421202,21483.32,42120.2
2024-02-27 09:19:00,close,261.76,34,-28.7,8899.7,0,0,0.0,0.0
2024-02-28 10:45:00,close,258.04,36,165.37,9289.57,0,0,0.0,0.0
2024-02-29 15:26:00,long,270.0,37,0.0,9990.0,5789193,1848744,48243.28,184874.4
2024-03-01 15:26:00,long,272.65,33,0.0,8997.45,1338655,344144,11155.46,34414.4
2024-03-01 09:18:00,close,271.06,37,39.29,10029.29,0,0,0.0,0.0
2024-03-04 09:15:00,close,283.14,33,346.17,9343.62,0,0,0.0,0.0
2024-03-05 15:26:00,long,285.6,35,0.0,9996.0,974929,279777,8124.41,27977.7
2024-03-06 15:26:00,long,280.7,32,0.0,8982.4,1519543,231084,12662.86,23108.4
2024-03-06 09:18:00,close,283.64,35,-68.77,9927.22,0,0,0.0,0.0
2024-03-07 15:26:00,short,279.55,32,0.0,8945.6,1253231,245001,10443.59,24500.1
2024-03-07 09:42:00,close,282.99,32,73.33,9055.73,0,0,0.0,0.0
2024-03-07 15:29:00,close,280.15,32,-19.2,8964.8,0,0,0.0,0.0
2024-03-11 15:26:00,short,267.6,37,0.0,9901.2,1113154,376141,9276.28,37614.1
2024-03-11 15:29:00,close,268.05,37,-16.65,9917.85,0,0,0.0,0.0
2024-03-12 15:26:00,long,255.85,39,0.0,9978.15,1256543,323885,10471.19,32388.5
2024-03-13 09:15:00,close,254.73,39,-43.8,9934.35,0,0,0.0,0.0
2024-03-14 15:26:00,short,262.55,38,0.0,9976.9,5064248,1240025,42202.07,124002.5
2024-03-14 15:29:00,close,262.8,38,-9.5,9986.4,0,0,0.0,0.0
2024-03-15 15:26:00,short,270.9,37,0.0,10023.3,13733180,4623770,114443.17,462377.0
2024-03-15 15:29:00,close,269.6,37,48.1,9975.2,0,0,0.0,0.0
2024-03-18 15:26:00,long,269.75,37,0.0,9980.75,1640742,588937,13672.85,58893.7
2024-03-19 15:26:00,short,260.4,34,0.0,8853.6,1520726,326259,12672.72,32625.9
2024-03-19 09:39:00,close,270.12,37,13.75,9994.5,0,0,0.0,0.0
2024-03-19 15:29:00,close,260.05,34,11.9,8841.7,0,0,0.0,0.0
2024-03-20 15:26:00,short,255.8,39,0.0,9976.2,1505002,404376,12541.68,40437.6
2024-03-20 15:29:00,close,255.0,39,31.2,9945.0,0,0,0.0,0.0
2024-03-21 15:26:00,long,274.1,36,0.0,9867.6,4331680,1127320,36097.33,112732.0
2024-03-22 15:26:00,short,268.55,33,0.0,8862.15,2381772,641220,19848.1,64122.0
2024-03-22 09:16:00,close,272.5,36,-57.69,9809.91,0,0,0.0,0.0
2024-03-22 15:29:00,close,268.9,33,-11.55,8873.7,0,0,0.0,0.0
2024-03-26 15:26:00,short,281.8,35,0.0,9863.0,11857409,1665059,98811.74,166505.9
2024-03-26 15:29:00,close,282.0,35,-7.0,9870.0,0,0,0.0,0.0
2024-03-27 15:26:00,short,285.25,35,0.0,9983.75,3671243,820551,30593.69,82055.1
2024-03-27 15:29:00,close,286.6,35,-47.25,10031.0,0,0,0.0,0.0
2024-03-28 15:26:00,short,274.3,36,0.0,9874.8,5693521,1638792,47446.01,163879.2
2024-03-28 15:29:00,close,276.64,36,-84.2,9959.0,0,0,0.0,0.0
2024-04-01 15:26:00,short,308.8,32,0.0,9881.6,11792271,1835145,98268.92,183514.5
2024-04-01 15:29:00,close,308.8,32,0.0,9881.6,0,0,0.0,0.0
2024-04-02 15:26:00,long,308.8,32,0.0,9881.6,4853848,955297,40448.73,95529.7
2024-04-03 15:26:00,short,311.55,29,0.0,9034.95,2811037,369584,23425.31,36958.4
2024-04-03 09:30:00,close,308.19,32,-19.62,9861.98,0,0,0.0,0.0
2024-04-03 15:29:00,close,311.25,29,8.7,9026.25,0,0,0.0,0.0
2024-04-04 15:26:00,long,314.05,32,0.0,10049.6,1658896,554433,13824.13,55443.3
2024-04-05 15:26:00,long,322.25,28,0.0,9023.0,3299832,872210,27498.6,87221.0
2024-04-05 09:15:00,close,311.55,32,-79.9,9969.7,0,0,0.0,0.0
2024-04-08 15:26:00,short,330.65,27,0.0,8927.55,6351231,980587,52926.92,98058.7
2024-04-08 09:20:00,close,323.63,28,38.67,9061.67,0,0,0.0,0.0
2024-04-08 15:29:00,close,330.7,27,-1.35,8928.9,0,0,0.0,0.0
2024-04-09 15:26:00,short,358.0,28,0.0,10024.0,9536083,1725934,79467.36,172593.4
2024-04-09 15:29:00,close,357.0,28,28.0,9996.0,0,0,0.0,0.0
2024-04-10 15:26:00,long,358.0,28,0.0,10024.0,4231386,694479,35261.55,69447.9
2024-04-12 09:15:00,close,357.35,28,-18.2,10005.8,0,0,0.0,0.0
2024-04-15 15:26:00,long,354.7,28,0.0,9931.6,2775856,533304,23132.13,53330.4
2024-04-16 15:26:00,short,356.8,25,0.0,8920.0,1908734,425391,15906.12,42539.1
2024-04-16 09:15:00,close,351.0,28,-103.6,9828.0,0,0,0.0,0.0
2024-04-16 15:29:00,close,357.45,25,-16.25,8936.25,0,0,0.0,0.0
2024-04-19 15:26:00,long,364.65,27,0.0,9845.55,5572280,771629,46435.67,77162.9
2024-04-22 15:26:00,long,379.65,23,0.0,8731.95,3582787,1261611,29856.56,126161.1
2024-04-22 09:15:00,close,371.3,27,179.55,10025.1,0,0,0.0,0.0
2024-04-23 15:26:00,short,371.25,24,0.0,8910.0,1618464,541573,13487.2,54157.3
2024-04-23 09:16:00,close,377.88,23,-40.64,8691.31,0,0,0.0,0.0
2024-04-23 15:29:00,close,374.81,24,-85.46,8995.46,0,0,0.0,0.0
2024-04-24 15:26:00,long,381.8,26,0.0,9926.8,2544928,861058,21207.73,86105.8
2024-04-25 15:26:00,short,381.5,23,0.0,8774.5,4663568,1192235,38863.07,119223.5
2024-04-25 09:15:00,close,380.2,26,-41.6,9885.2,0,0,0.0,0.0
2024-04-25 15:29:00,close,381.5,23,0.0,8774.5,0,0,0.0,0.0
2024-04-26 15:26:00,short,391.4,25,0.0,9785.0,3410948,741361,28424.57,74136.1
2024-04-26 15:29:00,close,392.1,25,-17.5,9802.5,0,0,0.0,0.0
2024-04-29 15:26:00,long,389.9,25,0.0,9747.5,2097627,652846,17480.22,65284.6
2024-04-30 15:26:00,long,386.95,23,0.0,8899.85,1775287,397864,14794.06,39786.4
2024-04-30 09:30:00,close,393.43,25,88.15,9835.65,0,0,0.0,0.0
2024-05-02 15:26:00,long,392.2,23,0.0,9020.6,1987874,622862,16565.62,62286.2
2024-05-02 09:20:00,close,386.55,23,-9.3,8890.55,0,0,0.0,0.0
2024-05-03 15:26:00,long,389.55,23,0.0,8959.65,3267009,1309902,27225.08,130990.2
2024-05-03 09:18:00,close,389.42,23,-64.02,8956.58,0,0,0.0,0.0
2024-05-06 15:26:00,long,378.4,24,0.0,9081.6,2787053,517895,23225.44,51789.5
2024-05-06 09:16:00,close,388.58,23,-22.42,8937.22,0,0,0.0,0.0
2024-05-07 15:26:00,long,366.7,24,0.0,8800.8,2148643,478299,17905.36,47829.9
2024-05-07 09:35:00,close,376.99,24,-33.79,9047.81,0,0,0.0,0.0
2024-05-08 15:26:00,short,369.85,24,0.0,8876.4,1246553,172719,10387.94,17271.9
2024-05-08 09:17:00,close,363.82,24,-69.0,8731.8,0,0,0.0,0.0
2024-05-08 15:29:00,close,370.3,24,-10.8,8887.2,0,0,0.0,0.0
2024-05-09 15:26:00,long,358.05,28,0.0,10025.4,1628230,631434,13568.58,63143.4
2024-05-10 15:26:00,long,374.05,24,0.0,8977.2,4271752,1014605,35597.93,101460.5
2024-05-10 09:20:00,close,361.8,28,105.0,10130.4,0,0,0.0,0.0
2024-05-13 09:15:00,close,370.31,24,-89.77,8887.43,0,0,0.0,0.0
2024-05-15 15:26:00,short,382.6,26,0.0,9947.6,2376336,383368,19802.8,38336.8
2024-05-15 15:29:00,close,382.8,26,-5.2,9952.8,0,0,0.0,0.0
2024-05-16 15:26:00,long,378.3,26,0.0,9835.8,2211526,347205,18429.38,34720.5
2024-05-17 09:32:00,close,378.97,26,17.47,9853.27,0,0,0.0,0.0
2024-05-21 15:26:00,long,400.9,25,0.0,10022.5,9200271,2321976,76668.92,232197.6
2024-05-22 15:26:00,long,384.7,23,0.0,8848.1,8218124,2371779,68484.37,237177.9
2024-05-22 09:23:00,close,411.25,25,258.65,10281.15,0,0,0.0,0.0
2024-05-23 15:26:00,long,374.6,24,0.0,8990.4,1938681,384129,16155.68,38412.9
2024-05-23 09:15:00,close,380.9,23,-87.4,8760.7,0,0,0.0,0.0
2024-05-24 15:26:00,short,370.8,24,0.0,8899.2,1924293,365875,16035.78,36587.5
2024-05-24 09:24:00,close,375.61,24,24.14,9014.54,0,0,0.0,0.0
2024-05-24 15:29:00,close,371.0,24,-4.8,8904.0,0,0,0.0,0.0
2024-05-27 15:26:00,long,369.25,27,0.0,9969.75,2706333,358264,22552.78,35826.4
2024-05-28 15:26:00,short,372.8,24,0.0,8947.2,1945804,338967,16215.03,33896.7
2024-05-28 09:20:00,close,372.88,27,98.1,10067.85,0,0,0.0,0.0
2024-05-28 15:29:00,close,373.0,24,-4.8,8952.0,0,0,0.0,0.0
2024-05-29 15:26:00,long,377.8,26,0.0,9822.8,2381989,468451,19849.91,46845.1
2024-05-30 15:26:00,long,356.6,25,0.0,8915.0,7116279,2259119,59302.32,225911.9
2024-05-30 09:15:00,close,373.0,26,-124.8,9698.0,0,0,0.0,0.0
2024-05-31 15:26:00,short,355.85,25,0.0,8896.25,4981682,1005953,41514.02,100595.3
2024-05-31 09:15:00,close,359.0,25,60.0,8975.0,0,0,0.0,0.0
2024-05-31 15:29:00,close,356.5,25,-16.25,8912.5,0,0,0.0,0.0
2024-06-03 15:26:00,long,370.55,27,0.0,10004.85,2814210,400041,23451.75,40004.1
2024-06-04 09:15:00,close,368.23,27,-62.63,9942.22,0,0,0.0,0.0
2024-06-06 15:26:00,long,337.95,29,0.0,9800.55,2414315,464877,20119.29,46487.7
2024-06-07 09:15:00,close,335.61,29,-67.86,9732.69,0,0,0.0,0.0
2024-06-10 15:26:00,short,336.15,29,0.0,9748.35,1279361,181153,10661.34,18115.3
2024-06-10 15:29:00,close,336.5,29,-10.15,9758.5,0,0,0.0,0.0
2024-06-11 15:26:00,short,328.9,30,0.0,9867.0,4263336,692314,35527.8,69231.4
2024-06-11 15:29:00,close,329.5,30,-18.0,9885.0,0,0,0.0,0.0
2024-06-12 15:26:00,short,335.5,29,0.0,9729.5,1023422,219539,8528.52,21953.9
2024-06-12 15:29:00,close,335.0,29,14.5,9715.0,0,0,0.0,0.0
2024-06-13 15:26:00,short,336.0,29,0.0,9744.0,1170416,231258,9753.47,23125.8
2024-06-13 15:29:00,close,335.85,29,4.35,9739.65,0,0,0.0,0.0
2024-06-18 15:26:00,short,332.85,30,0.0,9985.5,888411,195074,7403.42,19507.4
2024-06-18 15:29:00,close,332.55,30,9.0,9976.5,0,0,0.0,0.0
2024-06-19 15:26:00,short,326.2,30,0.0,9786.0,1269798,286265,10581.65,28626.5
2024-06-19 15:29:00,close,327.0,30,-24.0,9810.0,0,0,0.0,0.0
2024-06-20 15:26:00,long,333.75,30,0.0,10012.5,842202,182537,7018.35,18253.7
2024-06-21 15:26:00,long,331.3,27,0.0,8945.1,973972,183655,8116.43,18365.5
2024-06-21 10:22:00,close,333.48,30,-8.05,10004.45,0,0,0.0,0.0
2024-06-24 15:26:00,long,332.0,27,0.0,8964.0,1635098,218772,13625.82,21877.2
2024-06-24 09:15:00,close,324.75,27,-176.85,8768.25,0,0,0.0,0.0
2024-06-25 15:26:00,long,329.9,27,0.0,8907.3,1516569,538375,12638.08,53837.5
2024-06-25 09:15:00,close,334.32,27,62.72,9026.72,0,0,0.0,0.0
2024-06-26 15:26:00,short,322.6,28,0.0,9032.8,1909936,462156,15916.13,46215.6
2024-06-26 09:17:00,close,328.28,27,-43.63,8863.67,0,0,0.0,0.0
2024-06-26 15:29:00,close,323.0,28,-11.2,9044.0,0,0,0.0,0.0
