,stock,type,entryTime,exitTime,entryPrice,exitPrice,quantity,entryCost,exitCost,status,pnl,profitpct
8,IGL_minute,long,2024-01-19 15:21:00,2024-01-20 15:29:00,223.2,221.6,1,223.2,221.6,closed,-1.6,-0.7168
70,IGL_minute,long,2024-01-30 15:21:00,2024-01-31 15:29:00,213.2,215.05,1,213.2,215.05,closed,1.85,0.8677
169,IGL_minute,long,2024-02-14 15:21:00,2024-02-15 15:29:00,219.0,222.4,1,219.0,222.4,closed,3.4,1.5525
213,IGL_minute,long,2024-02-20 15:21:00,2024-02-21 15:29:00,220.1,218.4,1,220.1,218.4,closed,-1.7,-0.7724
320,IGL_minute,long,2024-03-07 15:21:00,2024-03-11 15:29:00,215.3,212.4,1,215.3,212.4,closed,-2.9,-1.347
326,IGL_minute,long,2024-03-11 15:21:00,2024-03-12 09:15:00,212.2,213.5,1,212.2,213.5,closed,1.3,0.6126
351,IGL_minute,long,2024-03-14 15:21:00,2024-03-15 09:15:00,205.8,203.74,1,205.8,203.74,closed,-2.06,-1.0
393,IGL_minute,long,2024-03-18 15:21:00,2024-03-19 15:29:00,204.95,201.9,1,204.95,201.9,closed,-3.05,-1.4882
530,IGL_minute,long,2024-04-04 15:21:00,2024-04-05 15:29:00,218.8,231.55,1,218.8,231.55,closed,12.75,5.8272
539,IGL_minute,long,2024-04-08 15:21:00,2024-04-09 15:29:00,237.7,238.0,1,237.7,238.0,closed,0.3,0.1262
574,IGL_minute,long,2024-04-15 15:21:00,2024-04-16 15:29:00,235.2,231.5,1,235.2,231.5,closed,-3.7,-1.5731
691,IGL_minute,long,2024-04-29 15:21:00,2024-04-30 15:29:00,231.25,236.0,1,231.25,236.0,closed,4.75,2.0541
711,IGL_minute,long,2024-04-30 15:21:00,2024-05-02 09:19:00,234.55,234.04,1,234.55,234.04,closed,-0.51,-0.2191
714,IGL_minute,long,2024-05-02 15:21:00,2024-05-03 15:29:00,232.3,226.85,1,232.3,226.85,closed,-5.45,-2.3461
742,IGL_minute,long,2024-05-07 15:21:00,2024-05-08 09:15:00,219.35,215.0,1,219.35,215.0,closed,-4.35,-1.9831
756,IGL_minute,long,2024-05-08 15:21:00,2024-05-09 15:29:00,226.0,219.0,1,226.0,219.0,closed,-7.0,-3.0973
771,IGL_minute,long,2024-05-10 15:21:00,2024-05-13 09:19:00,223.1,223.2,1,223.1,223.2,closed,0.1,0.0428
790,IGL_minute,long,2024-05-14 15:21:00,2024-05-15 09:15:00,222.8,220.57,1,222.8,220.57,closed,-2.23,-1.0
871,IGL_minute,long,2024-05-23 15:21:00,2024-05-24 09:16:00,227.6,225.32,1,227.6,225.32,closed,-2.28,-1.0
943,IGL_minute,long,2024-06-03 15:21:00,2024-06-04 09:15:00,234.55,232.2,1,234.55,232.2,closed,-2.35,-1.0
969,IGL_minute,long,2024-06-06 15:21:00,2024-06-07 09:16:00,230.8,229.28,1,230.8,229.28,closed,-1.52,-0.6568
981,IGL_minute,long,2024-06-07 15:21:00,2024-06-10 09:15:00,233.6,236.07,1,233.6,236.07,closed,2.47,1.0554
1001,IGL_minute,long,2024-06-12 15:21:00,2024-06-13 15:29:00,238.7,244.9,1,238.7,244.9,closed,6.2,2.5974
1004,IGL_minute,long,2024-06-13 15:21:00,2024-06-14 15:29:00,243.85,240.6,1,243.85,240.6,closed,-3.25,-1.3328
1112,IGL_minute,long,2024-06-28 15:21:00,2024-07-01 15:29:00,252.1,263.2,1,252.1,263.2,closed,11.1,4.403
1123,IGL_minute,long,2024-07-01 15:21:00,2024-07-02 15:29:00,264.15,259.2,1,264.15,259.2,closed,-4.95,-1.8739
1172,IGL_minute,long,2024-07-08 15:21:00,2024-07-09 09:19:00,262.7,262.45,1,262.7,262.45,closed,-0.25,-0.0955
1187,IGL_minute,long,2024-07-10 15:21:00,2024-07-11 09:17:00,263.75,261.86,1,263.75,261.86,closed,-1.89,-0.7185
1220,IGL_minute,long,2024-07-16 15:21:00,2024-07-18 15:29:00,270.4,267.3,1,270.4,267.3,closed,-3.1,-1.1464
1262,IGL_minute,long,2024-07-23 15:21:00,2024-07-24 09:15:00,266.6,266.71,1,266.6,266.71,closed,0.11,0.0398
1288,IGL_minute,long,2024-07-25 15:21:00,2024-07-26 09:16:00,268.15,267.0,1,268.15,267.0,closed,-1.15,-0.4277
1387,IGL_minute,long,2024-08-07 15:21:00,2024-08-08 09:19:00,274.05,271.31,1,274.05,271.31,closed,-2.74,-1.0
1403,IGL_minute,long,2024-08-09 15:21:00,2024-08-12 15:29:00,268.9,271.0,1,268.9,271.0,closed,2.1,0.781
1447,IGL_minute,long,2024-08-16 15:21:00,2024-08-19 15:29:00,273.0,274.15,1,273.0,274.15,closed,1.15,0.4212
1450,IGL_minute,long,2024-08-19 15:21:00,2024-08-20 15:29:00,274.4,274.5,1,274.4,274.5,closed,0.1,0.0364
1483,IGL_minute,long,2024-08-21 15:21:00,2024-08-22 15:29:00,275.3,270.25,1,275.3,270.25,closed,-5.05,-1.8344
1532,IGL_minute,long,2024-08-27 15:21:00,2024-08-28 15:29:00,267.1,269.5,1,267.1,269.5,closed,2.4,0.8985
1563,IGL_minute,long,2024-08-29 15:21:00,2024-08-30 15:29:00,272.1,275.3,1,272.1,275.3,closed,3.2,1.176
1577,IGL_minute,long,2024-08-30 15:21:00,2024-09-02 15:29:00,276.6,273.2,1,276.6,273.2,closed,-3.4,-1.2292
1603,IGL_minute,long,2024-09-03 15:21:00,2024-09-04 09:15:00,278.0,275.22,1,278.0,275.22,closed,-2.78,-1.0
1682,IGL_minute,long,2024-09-10 15:21:00,2024-09-11 09:19:00,270.25,267.99,1,270.25,267.99,closed,-2.26,-0.8352
