TimeStamp,Type,Price,Quantity,Profit/Loss,TotalCost,BaselineVolume,EndVolume,BaselineVolumeMean,EndVolumeMean
2024-01-31 15:26:00,short,2323.9,4,0.0,9295.6,700503,184944,5837.52,18494.4
2024-01-31 15:29:00,close,2319.85,4,16.2,9279.4,0,0,0.0,0.0
2024-02-01 15:26:00,short,2309.4,4,0.0,9237.6,288717,95373,2405.98,9537.3
2024-02-01 15:29:00,close,2306.7,4,10.8,9226.8,0,0,0.0,0.0
2024-02-05 15:26:00,short,2245.7,4,0.0,8982.8,100959,33774,841.32,3377.4
2024-02-05 15:29:00,close,2250.0,4,-17.2,9000.0,0,0,0.0,0.0
2024-02-07 15:26:00,short,2292.05,4,0.0,9168.2,72127,22306,601.06,2230.6
2024-02-07 15:29:00,close,2293.6,4,-6.2,9174.4,0,0,0.0,0.0
2024-02-09 15:26:00,long,2298.8,4,0.0,9195.2,37563,16575,313.02,1657.5
2024-02-19 15:26:00,short,2347.5,3,0.0,7042.5,38979,10161,324.82,1016.1
2024-02-19 15:29:00,close,2345.15,3,7.05,7035.45,0,0,0.0,0.0
2024-02-22 15:26:00,long,2411.2,3,0.0,7233.6,62120,18408,517.67,1840.8
2024-02-27 15:26:00,long,2397.05,3,0.0,7191.15,107794,49592,898.28,4959.2
2024-02-29 15:26:00,long,2393.65,3,0.0,7180.95,231447,87029,1928.72,8702.9
2024-03-07 15:26:00,short,2446.8,2,0.0,4893.6,162394,58479,1353.28,5847.9
2024-03-07 15:29:00,close,2441.3,2,11.0,4882.6,0,0,0.0,0.0
2024-03-12 15:26:00,long,2425.4,2,0.0,4850.8,65710,20789,547.58,2078.9
2024-03-13 15:26:00,long,2383.8,2,0.0,4767.6,141000,47891,1175.0,4789.1
2024-03-14 15:26:00,short,2428.1,2,0.0,4856.2,94963,39993,791.36,3999.3
2024-03-14 09:15:00,close,2366.45,4,270.6,9465.8,0,0,0.0,0.0
2024-03-14 09:15:00,close,2366.45,3,-134.25,7099.35,0,0,0.0,0.0
2024-03-14 09:15:00,close,2366.45,3,-91.8,7099.35,0,0,0.0,0.0
2024-03-14 09:15:00,close,2366.45,3,-81.6,7099.35,0,0,0.0,0.0
2024-03-14 15:29:00,close,2422.6,2,11.0,4845.2,0,0,0.0,0.0
2024-03-15 15:26:00,long,2428.05,3,0.0,7284.15,151791,63900,1264.92,6390.0
2024-03-20 15:26:00,short,2460.0,3,0.0,7380.0,72215,19176,601.79,1917.6
2024-03-20 15:29:00,close,2463.0,3,-9.0,7389.0,0,0,0.0,0.0
2024-03-22 15:26:00,short,2549.9,3,0.0,7649.7,210903,70172,1757.52,7017.2
2024-03-22 15:29:00,close,2546.0,3,11.7,7638.0,0,0,0.0,0.0
2024-04-08 15:26:00,short,2611.75,3,0.0,7835.25,90349,60610,752.91,6061.0
2024-04-08 15:29:00,close,2614.2,3,-7.35,7842.6,0,0,0.0,0.0
2024-04-12 15:26:00,short,2632.2,3,0.0,7896.6,189913,68996,1582.61,6899.6
2024-04-12 15:29:00,close,2629.0,3,9.6,7887.0,0,0,0.0,0.0
2024-04-15 09:36:00,close,2553.12,2,255.45,5106.25,0,0,0.0,0.0
2024-04-15 09:36:00,close,2553.12,2,338.65,5106.25,0,0,0.0,0.0
2024-04-15 09:36:00,close,2553.12,3,375.22,7659.38,0,0,0.0,0.0
2024-04-18 15:26:00,long,2540.15,3,0.0,7620.45,287330,82636,2394.42,8263.6
2024-04-23 15:26:00,long,2619.0,3,0.0,7857.0,106586,38203,888.22,3820.3
2024-04-30 15:26:00,short,2616.0,3,0.0,7848.0,137597,39677,1146.64,3967.7
2024-04-30 15:29:00,close,2625.0,3,-27.0,7875.0,0,0,0.0,0.0
2024-05-03 13:17:00,close,2559.25,3,57.31,7677.76,0,0,0.0,0.0
2024-05-03 13:17:00,close,2559.25,3,-179.24,7677.76,0,0,0.0,0.0
2024-05-06 15:26:00,short,2581.0,3,0.0,7743.0,64030,38573,533.58,3857.3
2024-05-06 15:29:00,close,2586.0,3,-15.0,7758.0,0,0,0.0,0.0
2024-05-07 15:26:00,short,2419.25,4,0.0,9677.0,467141,391249,3892.84,39124.9
2024-05-07 15:29:00,close,2400.0,4,77.0,9600.0,0,0,0.0,0.0
2024-05-14 15:26:00,long,2289.4,4,0.0,9157.6,142134,65400,1184.45,6540.0
2024-05-16 15:26:00,long,2273.3,4,0.0,9093.2,163913,46030,1365.94,4603.0
2024-05-22 15:26:00,long,2296.7,3,0.0,6890.1,78427,36277,653.56,3627.7
2024-05-28 15:26:00,long,2281.2,3,0.0,6843.6,77013,21958,641.78,2195.8
2024-05-29 15:26:00,short,2236.35,3,0.0,6709.05,128069,40165,1067.24,4016.5
2024-05-29 15:29:00,close,2239.9,3,-10.65,6719.7,0,0,0.0,0.0
2024-05-31 15:26:00,short,2205.15,3,0.0,6615.45,749476,321589,6245.63,32158.9
2024-05-31 15:14:00,close,2210.46,4,-315.76,8841.84,0,0,0.0,0.0
2024-05-31 15:14:00,close,2210.46,4,-251.36,8841.84,0,0,0.0,0.0
2024-05-31 15:14:00,close,2210.46,3,-258.72,6631.38,0,0,0.0,0.0
2024-05-31 15:29:00,close,2204.95,3,0.6,6614.85,0,0,0.0,0.0
2024-06-04 11:15:00,close,2168.28,3,-338.76,6504.84,0,0,0.0,0.0
2024-06-07 15:26:00,long,2315.65,4,0.0,9262.6,129557,33524,1079.64,3352.4
2024-06-13 15:26:00,long,2400.2,3,0.0,7200.6,154960,41119,1291.33,4111.9
2024-06-21 15:26:00,short,2457.95,3,0.0,7373.85,189281,81351,1577.34,8135.1
2024-06-21 15:29:00,close,2459.0,3,-3.15,7377.0,0,0,0.0,0.0
