,stock,type,entryTime,exitTime,entryPrice,exitPrice,quantity,entryCost,exitCost,status,pnl,profitpct
3,GODREJIND_minute,long,2024-01-29 15:26:00,2024-01-30 15:29:00,868.0,875.55,1,868.0,875.55,closed,7.55,0.8698
11,GODREJIND_minute,long,2024-02-14 15:26:00,2024-02-15 15:29:00,802.75,820.05,1,802.75,820.05,closed,17.3,2.1551
21,GODREJIND_minute,long,2024-02-29 15:26:00,2024-03-01 15:29:00,800.85,810.0,1,800.85,810.0,closed,9.15,1.1425
34,GODREJIND_minute,long,2024-04-04 15:26:00,2024-04-05 15:29:00,804.95,815.0,1,804.95,815.0,closed,10.05,1.2485
40,GODREJIND_minute,long,2024-04-09 15:26:00,2024-04-10 15:29:00,875.4,851.9,1,875.4,851.9,closed,-23.5,-2.6845
45,GODREJIND_minute,long,2024-04-12 15:26:00,2024-04-15 15:29:00,839.9,840.0,1,839.9,840.0,closed,0.1,0.0119
50,GODREJIND_minute,long,2024-04-26 15:26:00,2024-04-29 15:29:00,868.4,905.6,1,868.4,905.6,closed,37.2,4.2837
60,GODREJIND_minute,long,2024-05-08 15:26:00,2024-05-09 15:29:00,865.9,833.75,1,865.9,833.75,closed,-32.15,-3.7129
69,GODREJIND_minute,long,2024-05-17 15:26:00,2024-05-18 12:29:00,796.4,787.65,1,796.4,787.65,closed,-8.75,-1.0987
81,GODREJIND_minute,long,2024-06-06 15:26:00,2024-06-07 15:29:00,805.8,815.7,1,805.8,815.7,closed,9.9,1.2286
82,GODREJIND_minute,long,2024-06-13 15:26:00,2024-06-14 15:29:00,836.55,823.25,1,836.55,823.25,closed,-13.3,-1.5899
83,GODREJIND_minute,long,2024-06-18 15:26:00,2024-06-19 15:29:00,819.95,816.0,1,819.95,816.0,closed,-3.95,-0.4817
85,GODREJIND_minute,long,2024-06-21 15:26:00,2024-06-24 15:29:00,800.0,829.7,1,800.0,829.7,closed,29.7,3.7125
90,GODREJIND_minute,long,2024-06-28 15:26:00,2024-07-01 15:29:00,853.45,884.0,1,853.45,884.0,closed,30.55,3.5796
96,GODREJIND_minute,long,2024-07-15 15:26:00,2024-07-16 15:29:00,904.45,900.95,1,904.45,900.95,closed,-3.5,-0.387
141,GODREJIND_minute,long,2024-08-30 15:26:00,2024-09-02 15:29:00,1015.0,1059.15,1,1015.0,1059.15,closed,44.15,4.3498
142,GODREJIND_minute,long,2024-09-02 15:26:00,2024-09-03 15:29:00,1068.3,1273.95,1,1068.3,1273.95,closed,205.65,19.2502
144,GODREJIND_minute,long,2024-09-03 15:26:00,2024-09-04 09:15:00,1273.95,1210.25,1,1273.95,1210.25,closed,-63.7,-5.0
149,GODREJIND_minute,long,2024-09-05 15:26:00,2024-09-06 15:29:00,1218.0,1207.7,1,1218.0,1207.7,closed,-10.3,-0.8456
156,GODREJIND_minute,long,2024-09-09 15:26:00,2024-09-10 15:29:00,1216.0,1209.25,1,1216.0,1209.25,closed,-6.75,-0.5551
158,GODREJIND_minute,long,2024-09-11 15:26:00,2024-09-12 15:29:00,1205.7,1205.0,1,1205.7,1205.0,closed,-0.7,-0.0581
171,GODREJIND_minute,long,2024-09-20 15:26:00,2024-09-23 15:29:00,1204.9,1239.0,1,1204.9,1239.0,closed,34.1,2.8301
194,GODREJIND_minute,long,2024-10-21 15:26:00,2024-10-22 15:29:00,1011.75,994.75,1,1011.75,994.75,closed,-17.0,-1.6803
198,GODREJIND_minute,long,2024-10-28 15:26:00,2024-10-29 15:29:00,1022.45,1031.6,1,1022.45,1031.6,closed,9.15,0.8949
201,GODREJIND_minute,long,2024-10-30 15:26:00,2024-10-31 15:29:00,1024.1,1043.45,1,1024.1,1043.45,closed,19.35,1.8895
210,GODREJIND_minute,long,2024-11-11 15:26:00,2024-11-12 15:29:00,980.85,956.0,1,980.85,956.0,closed,-24.85,-2.5335
213,GODREJIND_minute,long,2024-11-12 15:26:00,2024-11-13 15:29:00,957.4,940.0,1,957.4,940.0,closed,-17.4,-1.8174
216,GODREJIND_minute,long,2024-11-13 15:26:00,2024-11-14 09:15:00,936.1,950.0,1,936.1,950.0,closed,13.9,1.4849
221,GODREJIND_minute,long,2024-11-18 15:26:00,2024-11-19 15:29:00,1014.85,1024.9,1,1014.85,1024.9,closed,10.05,0.9903
235,GODREJIND_minute,long,2024-12-02 15:26:00,2024-12-03 15:29:00,1067.15,1094.2,1,1067.15,1094.2,closed,27.05,2.5348
237,GODREJIND_minute,long,2024-12-03 15:26:00,2024-12-04 15:29:00,1089.0,1073.15,1,1089.0,1073.15,closed,-15.85,-1.4555
239,GODREJIND_minute,long,2024-12-04 15:26:00,2024-12-05 15:29:00,1075.4,1078.0,1,1075.4,1078.0,closed,2.6,0.2418
251,GODREJIND_minute,long,2024-12-19 15:26:00,2024-12-20 15:29:00,1125.05,1119.9,1,1125.05,1119.9,closed,-5.15,-0.4578
258,GODREJIND_minute,long,2024-12-30 15:26:00,,1228.2,0.0,1,1228.2,0.0,open,0.0,0.0
