TimeStamp,Type,Price,Quantity,Profit/Loss,TotalCost,BaselineVolume,EndVolume,BaselineVolumeMean,EndVolumeMean
2024-01-01 15:26:00,short,1221.4,8,0.0,9771.2,290169,76405,2418.07,7640.5
2024-01-01 15:29:00,close,1227.0,8,-44.8,9816.0,0,0,0.0,0.0
2024-01-02 15:26:00,long,1221.6,8,0.0,9772.8,470821,102770,3923.51,10277.0
2024-01-03 15:26:00,long,1240.0,7,0.0,8680.0,420763,90181,3506.36,9018.1
2024-01-05 13:08:00,close,1266.14,8,356.33,10129.13,0,0,0.0,0.0
2024-01-05 13:08:00,close,1266.14,7,182.99,8862.99,0,0,0.0,0.0
2024-01-09 15:26:00,long,1231.45,8,0.0,9851.6,515074,95464,4292.28,9546.4
2024-01-12 15:26:00,long,1247.6,7,0.0,8733.2,645246,137701,5377.05,13770.1
2024-01-15 15:26:00,short,1274.0,6,0.0,7644.0,372779,101067,3106.49,10106.7
2024-01-15 15:29:00,close,1279.3,6,-31.8,7675.8,0,0,0.0,0.0
2024-01-18 15:26:00,long,1292.75,6,0.0,7756.5,353094,96569,2942.45,9656.9
2024-01-18 09:16:00,close,1270.7,8,314.0,10165.6,0,0,0.0,0.0
2024-01-18 09:16:00,close,1270.7,7,161.7,8894.9,0,0,0.0,0.0
2024-01-19 15:26:00,short,1266.15,7,0.0,8863.05,396879,97975,3307.32,9797.5
2024-01-19 14:06:00,close,1256.2,6,-219.31,7537.19,0,0,0.0,0.0
2024-01-19 15:29:00,close,1266.0,7,1.05,8862.0,0,0,0.0,0.0
2024-01-20 15:26:00,short,1261.0,7,0.0,8827.0,72522,15607,604.35,1560.7
2024-01-20 15:29:00,close,1258.0,7,21.0,8806.0,0,0,0.0,0.0
2024-01-24 15:26:00,short,1248.4,8,0.0,9987.2,709510,353561,5912.58,35356.1
2024-01-24 15:29:00,close,1246.0,8,19.2,9968.0,0,0,0.0,0.0
2024-01-29 15:26:00,long,1230.1,8,0.0,9840.8,661967,170314,5516.39,17031.4
2024-01-30 15:26:00,long,1216.55,7,0.0,8515.85,963891,184125,8032.42,18412.5
2024-01-30 11:01:00,close,1239.51,8,75.32,9916.12,0,0,0.0,0.0
2024-01-31 15:26:00,long,1186.9,7,0.0,8308.3,741750,139468,6181.25,13946.8
2024-01-31 09:51:00,close,1185.34,7,-218.47,8297.38,0,0,0.0,0.0
2024-02-01 15:26:00,short,1139.9,8,0.0,9119.2,480826,370801,4006.88,37080.1
2024-02-01 10:18:00,close,1157.36,7,-206.81,8101.49,0,0,0.0,0.0
2024-02-01 15:29:00,close,1138.0,8,15.2,9104.0,0,0,0.0,0.0
2024-02-12 15:26:00,long,1103.4,9,0.0,9930.6,161362,49720,1344.68,4972.0
2024-02-13 15:26:00,short,1140.85,7,0.0,7985.95,743878,277873,6198.98,27787.3
2024-02-13 15:29:00,close,1137.2,7,25.55,7960.4,0,0,0.0,0.0
2024-02-14 15:26:00,long,1126.7,8,0.0,9013.6,238019,50470,1983.49,5047.0
2024-02-14 13:18:00,close,1115.5,9,108.9,10039.5,0,0,0.0,0.0
2024-02-16 15:26:00,short,1144.4,7,0.0,8010.8,308066,85449,2567.22,8544.9
2024-02-16 15:29:00,close,1142.0,7,16.8,7994.0,0,0,0.0,0.0
2024-02-19 15:26:00,long,1133.95,8,0.0,9071.6,196443,49649,1637.02,4964.9
2024-02-20 15:26:00,long,1101.1,7,0.0,7707.7,542305,110455,4519.21,11045.5
2024-02-20 09:15:00,close,1120.88,8,-46.53,8967.07,0,0,0.0,0.0
2024-02-20 09:42:00,close,1100.46,8,-267.88,8803.72,0,0,0.0,0.0
2024-02-22 09:28:00,close,1076.6,7,-171.48,7536.22,0,0,0.0,0.0
2024-02-26 15:26:00,long,1112.5,8,0.0,8900.0,309967,113941,2583.06,11394.1
2024-02-27 13:38:00,close,1093.24,8,-154.09,8745.91,0,0,0.0,0.0
2024-02-28 15:26:00,short,1065.0,9,0.0,9585.0,293987,68211,2449.89,6821.1
2024-02-28 15:29:00,close,1067.0,9,-18.0,9603.0,0,0,0.0,0.0
2024-02-29 15:26:00,short,1088.45,9,0.0,9796.05,696060,152551,5800.5,15255.1
2024-02-29 15:29:00,close,1092.45,9,-36.0,9832.05,0,0,0.0,0.0
2024-03-07 15:26:00,long,1083.5,9,0.0,9751.5,1076094,216165,8967.45,21616.5
2024-03-12 15:26:00,short,1063.45,8,0.0,8507.6,310384,69818,2586.53,6981.8
2024-03-12 09:18:00,close,1074.66,9,-79.53,9671.97,0,0,0.0,0.0
2024-03-12 15:29:00,close,1069.95,8,-52.0,8559.6,0,0,0.0,0.0
2024-03-14 15:26:00,short,1072.9,9,0.0,9656.1,641195,170578,5343.29,17057.8
2024-03-14 15:29:00,close,1077.95,9,-45.45,9701.55,0,0,0.0,0.0
2024-03-15 15:26:00,short,1065.9,9,0.0,9593.1,486121,133758,4051.01,13375.8
2024-03-15 15:29:00,close,1069.55,9,-32.85,9625.95,0,0,0.0,0.0
2024-03-22 15:26:00,short,1088.8,9,0.0,9799.2,309222,58397,2576.85,5839.7
2024-03-22 15:29:00,close,1090.4,9,-14.4,9813.6,0,0,0.0,0.0
2024-04-01 15:26:00,short,1184.3,8,0.0,9474.4,370558,90231,3087.98,9023.1
2024-04-01 15:29:00,close,1190.8,8,-52.0,9526.4,0,0,0.0,0.0
2024-04-02 15:26:00,long,1197.65,8,0.0,9581.2,400025,172302,3333.54,17230.2
2024-04-05 15:26:00,long,1219.95,7,0.0,8539.65,393545,138446,3279.54,13844.6
2024-04-08 15:26:00,short,1204.0,6,0.0,7224.0,297392,69843,2478.27,6984.3
2024-04-08 15:29:00,close,1201.95,6,12.3,7211.7,0,0,0.0,0.0
2024-04-09 15:26:00,long,1212.35,6,0.0,7274.1,279290,58103,2327.42,5810.3
2024-04-09 09:15:00,close,1198.92,8,10.16,9591.36,0,0,0.0,0.0
2024-04-09 09:15:00,close,1198.92,7,-147.21,8392.44,0,0,0.0,0.0
2024-04-10 15:26:00,short,1191.35,7,0.0,8339.45,195116,34681,1625.97,3468.1
2024-04-10 15:29:00,close,1191.0,7,2.45,8337.0,0,0,0.0,0.0
2024-04-12 15:26:00,long,1177.55,7,0.0,8242.85,247762,54607,2064.68,5460.7
2024-04-12 09:15:00,close,1185.53,6,-160.9,7113.2,0,0,0.0,0.0
2024-04-15 15:26:00,long,1165.55,7,0.0,8158.85,260434,83556,2170.28,8355.6
