,stock,type,entryTime,exitTime,entryPrice,exitPrice,quantity,entryCost,exitCost,status,pnl,profitpct
10,LODHA_minute,long,2024-02-16 15:26:00,2024-02-19 15:29:00,1077.55,1089.05,1,1077.55,1089.05,closed,11.5,1.0672
22,LODHA_minute,long,2024-03-07 15:26:00,2024-03-11 09:17:00,1178.9,1219.9,1,1178.9,1219.9,closed,41.0,3.4778
32,LODHA_minute,long,2024-03-22 15:26:00,2024-03-26 09:15:00,1166.0,1136.0,1,1166.0,1136.0,closed,-30.0,-2.5729
40,LODHA_minute,long,2024-04-02 15:26:00,2024-04-03 09:16:00,1166.4,1143.07,1,1166.4,1143.07,closed,-23.33,-2.0
71,LODHA_minute,long,2024-05-15 15:26:00,2024-05-16 15:29:00,1190.0,1198.0,1,1190.0,1198.0,closed,8.0,0.6723
79,LODHA_minute,long,2024-05-31 15:26:00,2024-06-03 15:29:00,1393.55,1428.0,1,1393.55,1428.0,closed,34.45,2.4721
83,LODHA_minute,long,2024-06-05 15:26:00,2024-06-06 09:15:00,1308.55,1309.8,1,1308.55,1309.8,closed,1.25,0.0955
86,LODHA_minute,long,2024-06-06 15:26:00,2024-06-07 15:29:00,1387.95,1431.55,1,1387.95,1431.55,closed,43.6,3.1413
97,LODHA_minute,long,2024-06-21 15:26:00,2024-06-24 09:19:00,1591.95,1560.11,1,1591.95,1560.11,closed,-31.84,-2.0
105,LODHA_minute,long,2024-07-03 15:26:00,2024-07-04 15:29:00,1498.1,1506.6,1,1498.1,1506.6,closed,8.5,0.5674
122,LODHA_minute,long,2024-07-18 15:26:00,2024-07-19 09:15:00,1498.35,1468.38,1,1498.35,1468.38,closed,-29.97,-2.0
136,LODHA_minute,long,2024-08-08 15:26:00,2024-08-09 15:29:00,1188.55,1247.85,1,1188.55,1247.85,closed,59.3,4.9893
141,LODHA_minute,long,2024-08-19 15:26:00,2024-08-20 15:29:00,1291.7,1259.0,1,1291.7,1259.0,closed,-32.7,-2.5315
155,LODHA_minute,long,2024-09-04 15:26:00,2024-09-05 15:29:00,1222.15,1205.25,1,1222.15,1205.25,closed,-16.9,-1.3828
157,LODHA_minute,long,2024-09-05 15:26:00,2024-09-06 15:29:00,1205.35,1190.55,1,1205.35,1190.55,closed,-14.8,-1.2279
167,LODHA_minute,long,2024-09-13 15:26:00,2024-09-16 15:29:00,1235.95,1275.8,1,1235.95,1275.8,closed,39.85,3.2242
168,LODHA_minute,long,2024-09-16 15:26:00,2024-09-17 09:16:00,1278.05,1252.49,1,1278.05,1252.49,closed,-25.56,-2.0
172,LODHA_minute,long,2024-09-19 15:26:00,2024-09-20 15:29:00,1309.0,1397.9,1,1309.0,1397.9,closed,88.9,6.7914
174,LODHA_minute,long,2024-09-20 15:26:00,2024-09-23 09:16:00,1407.1,1390.62,1,1407.1,1390.62,closed,-16.48,-1.1712
180,LODHA_minute,long,2024-09-24 15:26:00,2024-09-25 09:15:00,1390.0,1328.9,1,1390.0,1328.9,closed,-61.1,-4.3957
182,LODHA_minute,long,2024-09-25 15:26:00,2024-09-26 15:29:00,1387.0,1379.6,1,1387.0,1379.6,closed,-7.4,-0.5335
191,LODHA_minute,long,2024-10-09 15:26:00,2024-10-10 15:29:00,1210.9,1183.9,1,1210.9,1183.9,closed,-27.0,-2.2297
196,LODHA_minute,long,2024-10-15 15:26:00,2024-10-16 15:29:00,1225.05,1218.0,1,1225.05,1218.0,closed,-7.05,-0.5755
201,LODHA_minute,long,2024-10-21 15:26:00,2024-10-22 15:29:00,1138.55,1090.55,1,1138.55,1090.55,closed,-48.0,-4.2159
209,LODHA_minute,long,2024-10-31 15:26:00,2024-11-01 18:59:00,1212.05,1202.0,1,1212.05,1202.0,closed,-10.05,-0.8292
211,LODHA_minute,long,2024-11-04 15:26:00,2024-11-05 15:29:00,1194.0,1161.0,1,1194.0,1161.0,closed,-33.0,-2.7638
214,LODHA_minute,long,2024-11-07 15:26:00,2024-11-08 09:15:00,1217.95,1202.46,1,1217.95,1202.46,closed,-15.49,-1.2718
215,LODHA_minute,long,2024-11-08 15:26:00,2024-11-11 15:29:00,1174.85,1188.0,1,1174.85,1188.0,closed,13.15,1.1193
231,LODHA_minute,long,2024-11-25 15:26:00,2024-11-26 15:29:00,1229.0,1277.7,1,1229.0,1277.7,closed,48.7,3.9626
234,LODHA_minute,long,2024-11-28 15:26:00,2024-11-29 09:15:00,1281.5,1269.15,1,1281.5,1269.15,closed,-12.35,-0.9638
242,LODHA_minute,long,2024-12-03 15:26:00,2024-12-04 15:29:00,1299.8,1379.5,1,1299.8,1379.5,closed,79.7,6.1317
250,LODHA_minute,long,2024-12-09 15:26:00,2024-12-10 15:29:00,1379.7,1401.25,1,1379.7,1401.25,closed,21.55,1.5619
254,LODHA_minute,long,2024-12-16 15:26:00,2024-12-17 15:29:00,1470.0,1484.7,1,1470.0,1484.7,closed,14.7,1.0
267,LODHA_minute,long,2024-12-30 15:26:00,,1422.95,0.0,1,1422.95,0.0,open,0.0,0.0
