TimeStamp,Type,Price,Quantity,Profit/Loss,TotalCost,BaselineVolume,EndVolume,BaselineVolumeMean,EndVolumeMean
2024-01-02 15:26:00,long,2615.0,3,0.0,7845.0,587632,99850,4896.93,9985.0
2024-01-04 15:26:00,short,2590.85,3,0.0,7772.55,550106,217851,4584.22,21785.1
2024-01-04 15:29:00,close,2592.0,3,-3.45,7776.0,0,0,0.0,0.0
2024-01-05 15:26:00,long,2620.0,3,0.0,7860.0,496406,104002,4136.72,10400.2
2024-01-08 15:26:00,long,2580.0,3,0.0,7740.0,396084,120168,3300.7,12016.8
2024-01-09 15:26:00,short,2579.0,2,0.0,5158.0,372869,64753,3107.24,6475.3
2024-01-09 15:29:00,close,2580.2,2,-2.4,5160.4,0,0,0.0,0.0
2024-01-12 15:26:00,short,2539.25,3,0.0,7617.75,838727,144206,6989.39,14420.6
2024-01-12 15:29:00,close,2539.45,3,-0.6,7618.35,0,0,0.0,0.0
2024-01-16 15:26:00,long,2570.0,2,0.0,5140.0,590564,172354,4921.37,17235.4
2024-01-17 15:26:00,short,2563.75,2,0.0,5127.5,621180,173218,5176.5,17321.8
2024-01-17 15:29:00,close,2560.0,2,7.5,5120.0,0,0,0.0,0.0
2024-01-18 15:26:00,long,2548.85,2,0.0,5097.7,390575,96430,3254.79,9643.0
2024-01-19 15:26:00,long,2572.0,2,0.0,5144.0,355899,155515,2965.82,15551.5
2024-01-20 15:26:00,short,2467.0,2,0.0,4934.0,674504,120306,5620.87,12030.6
2024-01-20 15:29:00,close,2469.5,2,-5.0,4939.0,0,0,0.0,0.0
2024-01-23 15:26:00,long,2373.05,2,0.0,4746.1,1400249,283049,11668.74,28304.9
2024-01-23 14:03:00,close,2366.91,3,-744.27,7100.73,0,0,0.0,0.0
2024-01-24 15:26:00,long,2444.8,2,0.0,4889.6,419035,98981,3491.96,9898.1
2024-01-25 15:26:00,long,2428.15,2,0.0,4856.3,708646,236539,5905.38,23653.9
2024-01-29 15:26:00,short,2440.0,2,0.0,4880.0,566305,150131,4719.21,15013.1
2024-01-29 15:29:00,close,2440.0,2,0.0,4880.0,0,0,0.0,0.0
2024-01-31 15:26:00,long,2482.95,2,0.0,4965.9,613415,157270,5111.79,15727.0
2024-02-02 15:26:00,short,2452.15,1,0.0,2452.15,555463,216743,4628.86,21674.3
2024-02-02 15:29:00,close,2452.35,1,-0.2,2452.35,0,0,0.0,0.0
2024-02-05 15:26:00,short,2421.7,2,0.0,4843.4,549703,96328,4580.86,9632.8
2024-02-05 15:29:00,close,2421.65,2,0.1,4843.3,0,0,0.0,0.0
2024-02-07 15:26:00,long,2427.0,2,0.0,4854.0,418712,115697,3489.27,11569.7
2024-02-08 15:26:00,short,2418.75,1,0.0,2418.75,492011,101874,4100.09,10187.4
2024-02-08 15:29:00,close,2414.0,1,4.75,2414.0,0,0,0.0,0.0
2024-02-15 11:10:00,close,2363.4,3,-769.8,7090.2,0,0,0.0,0.0
2024-02-16 15:26:00,long,2380.75,2,0.0,4761.5,793002,135927,6608.35,13592.7
2024-02-19 15:26:00,long,2389.0,1,0.0,2389.0,165187,44775,1376.56,4477.5
2024-02-20 15:26:00,long,2407.85,1,0.0,2407.85,361460,96446,3012.17,9644.6
2024-02-21 15:26:00,short,2406.8,1,0.0,2406.8,432034,93782,3600.28,9378.2
2024-02-21 15:29:00,close,2404.0,1,2.8,2404.0,0,0,0.0,0.0
2024-02-22 15:26:00,short,2387.65,1,0.0,2387.65,777767,196770,6481.39,19677.0
2024-02-22 15:29:00,close,2390.0,1,-2.35,2390.0,0,0,0.0,0.0
2024-02-23 15:26:00,long,2397.65,1,0.0,2397.65,409906,92172,3415.88,9217.2
2024-02-26 15:26:00,short,2403.95,1,0.0,2403.95,274875,70562,2290.62,7056.2
2024-02-26 15:29:00,close,2401.95,1,2.0,2401.95,0,0,0.0,0.0
2024-02-27 15:26:00,short,2406.7,1,0.0,2406.7,379941,79897,3166.18,7989.7
2024-02-27 15:29:00,close,2407.45,1,-0.75,2407.45,0,0,0.0,0.0
2024-02-28 15:26:00,short,2423.4,1,0.0,2423.4,227328,55267,1894.4,5526.7
2024-02-28 15:29:00,close,2423.85,1,-0.45,2423.85,0,0,0.0,0.0
2024-02-29 15:26:00,short,2411.5,1,0.0,2411.5,1246102,400648,10384.18,40064.8
2024-02-29 15:29:00,close,2404.8,1,6.7,2404.8,0,0,0.0,0.0
2024-03-01 15:26:00,short,2405.15,1,0.0,2405.15,731608,131375,6096.73,13137.5
2024-03-01 15:29:00,close,2410.0,1,-4.85,2410.0,0,0,0.0,0.0
2024-03-05 15:26:00,short,2398.1,1,0.0,2398.1,452295,112267,3769.12,11226.7
2024-03-05 15:29:00,close,2401.9,1,-3.8,2401.9,0,0,0.0,0.0
2024-03-06 15:26:00,long,2400.0,1,0.0,2400.0,608459,118541,5070.49,11854.1
2024-03-07 15:26:00,short,2411.2,1,0.0,2411.2,778967,136358,6491.39,13635.8
2024-03-07 15:29:00,close,2415.0,1,-3.8,2415.0,0,0,0.0,0.0
2024-03-11 15:26:00,long,2384.4,1,0.0,2384.4,794122,275250,6617.68,27525.0
2024-03-12 15:26:00,long,2379.5,1,0.0,2379.5,281946,75781,2349.55,7578.1
2024-03-13 15:26:00,long,2312.55,1,0.0,2312.55,774559,203431,6454.66,20343.1
2024-03-13 12:14:00,close,2334.87,3,-735.39,7004.61,0,0,0.0,0.0
2024-03-13 13:47:00,close,2316.55,2,-506.89,4633.11,0,0,0.0,0.0
2024-03-13 13:47:00,close,2316.55,2,-464.59,4633.11,0,0,0.0,0.0
2024-03-13 13:47:00,close,2316.55,2,-510.89,4633.11,0,0,0.0,0.0
2024-03-14 15:26:00,long,2333.15,2,0.0,4666.3,912576,216119,7604.8,21611.9
2024-03-15 15:26:00,short,2330.8,1,0.0,2330.8,1323350,437589,11027.92,43758.9
2024-03-15 15:29:00,close,2327.7,1,3.1,2327.7,0,0,0.0,0.0
2024-03-19 11:01:00,close,2260.4,2,-225.31,4520.79,0,0,0.0,0.0
2024-03-19 11:01:00,close,2260.4,2,-368.81,4520.79,0,0,0.0,0.0
2024-03-19 11:01:00,close,2260.4,2,-335.51,4520.79,0,0,0.0,0.0
2024-03-19 11:01:00,close,2260.4,2,-445.11,4520.79,0,0,0.0,0.0
2024-03-21 15:26:00,long,2245.95,2,0.0,4491.9,1583067,283610,13192.22,28361.0
2024-03-26 15:26:00,long,2240.85,2,0.0,4481.7,805726,400182,6714.38,40018.2
2024-03-27 15:26:00,long,2239.95,2,0.0,4479.9,811848,238725,6765.4,23872.5
2024-03-28 15:26:00,long,2260.55,2,0.0,4521.1,1389278,291127,11577.32,29112.7
2024-04-01 15:26:00,short,2286.5,2,0.0,4573.0,408616,77002,3405.13,7700.2
2024-04-01 15:29:00,close,2288.95,2,-4.9,4577.9,0,0,0.0,0.0
2024-04-02 15:26:00,long,2287.2,2,0.0,4574.4,484436,126176,4036.97,12617.6
2024-04-03 15:26:00,long,2265.75,1,0.0,2265.75,346693,118008,2889.11,11800.8
2024-04-05 15:26:00,short,2266.15,1,0.0,2266.15,320378,93724,2669.82,9372.4
2024-04-05 15:29:00,close,2266.0,1,0.15,2266.0,0,0,0.0,0.0
2024-04-08 15:26:00,short,2269.4,1,0.0,2269.4,290332,63014,2419.43,6301.4
2024-04-08 15:29:00,close,2270.0,1,-0.6,2270.0,0,0,0.0,0.0
2024-04-09 15:26:00,short,2265.05,1,0.0,2265.05,278176,99792,2318.13,9979.2
2024-04-09 15:29:00,close,2266.15,1,-1.1,2266.15,0,0,0.0,0.0
2024-04-12 15:26:00,short,2229.7,1,0.0,2229.7,1368149,242465,11401.24,24246.5
2024-04-12 15:29:00,close,2234.0,1,-4.3,2234.0,0,0,0.0,0.0
2024-04-15 15:26:00,short,2192.9,1,0.0,2192.9,1449238,340984,12076.98,34098.4
2024-04-15 09:36:00,close,2197.62,2,-458.76,4395.24,0,0,0.0,0.0
2024-04-15 09:36:00,close,2194.92,2,-371.66,4389.84,0,0,0.0,0.0
2024-04-15 09:36:00,close,2194.92,1,-194.08,2194.92,0,0,0.0,0.0
2024-04-15 09:36:00,close,2194.92,1,-212.93,2194.92,0,0,0.0,0.0
2024-04-15 09:36:00,close,2194.92,1,-202.73,2194.92,0,0,0.0,0.0
2024-04-15 15:29:00,close,2194.6,1,-1.7,2194.6,0,0,0.0,0.0
2024-04-16 15:26:00,long,2226.7,2,0.0,4453.4,551984,171903,4599.87,17190.3
2024-04-16 09:15:00,close,2183.0,1,-217.0,2183.0,0,0,0.0,0.0
2024-04-19 15:26:00,short,2229.5,2,0.0,4459.0,849850,161604,7082.08,16160.4
2024-04-19 15:29:00,close,2230.0,2,-1.0,4460.0,0,0,0.0,0.0
2024-04-22 15:26:00,short,2240.25,2,0.0,4480.5,415648,140025,3463.73,14002.5
2024-04-22 15:29:00,close,2245.95,2,-11.4,4491.9,0,0,0.0,0.0
2024-04-24 15:26:00,short,2260.5,2,0.0,4521.0,390855,112684,3257.12,11268.4
2024-04-24 15:29:00,close,2260.05,2,0.9,4520.1,0,0,0.0,0.0
2024-04-25 15:26:00,long,2231.55,2,0.0,4463.1,1794256,326015,14952.13,32601.5
2024-04-26 15:26:00,long,2221.4,2,0.0,4442.8,628217,180158,5235.14,18015.8
2024-04-29 15:26:00,long,2227.3,1,0.0,2227.3,441248,119163,3677.07,11916.3
2024-04-30 15:26:00,short,2233.0,1,0.0,2233.0,890775,237422,7423.12,23742.2
2024-04-30 15:29:00,close,2233.8,1,-0.8,2233.8,0,0,0.0,0.0
2024-05-02 15:26:00,long,2225.0,1,0.0,2225.0,871527,184097,7262.72,18409.7
2024-05-03 15:26:00,short,2215.1,1,0.0,2215.1,947068,275732,7892.23,27573.2
2024-05-03 15:29:00,close,2213.95,1,1.15,2213.95,0,0,0.0,0.0
2024-05-06 15:26:00,long,2257.8,1,0.0,2257.8,603991,108217,5033.26,10821.7
2024-05-07 15:26:00,short,2377.0,1,0.0,2377.0,2471923,436140,20599.36,43614.0
2024-05-07 15:29:00,close,2375.0,1,2.0,2375.0,0,0,0.0,0.0
2024-05-08 15:26:00,long,2343.9,1,0.0,2343.9,551563,156198,4596.36,15619.8
2024-05-10 15:26:00,long,2368.85,1,0.0,2368.85,694357,440273,5786.31,44027.3
2024-05-13 15:26:00,long,2360.5,1,0.0,2360.5,317080,84463,2642.33,8446.3
2024-05-14 15:26:00,short,2349.85,1,0.0,2349.85,254648,49518,2122.07,4951.8
2024-05-14 15:29:00,close,2351.8,1,-1.95,2351.8,0,0,0.0,0.0
2024-05-15 15:26:00,long,2320.8,1,0.0,2320.8,252556,86139,2104.63,8613.9
2024-05-17 15:26:00,short,2319.8,1,0.0,2319.8,526767,93730,4389.73,9373.0
