,stock,type,entryTime,exitTime,entryPrice,exitPrice,quantity,entryCost,exitCost,status,pnl,profitpct
2,MCX_minute,long,2024-01-30 15:26:00,2024-01-31 15:29:00,3350.3,3411.0,1,3350.3,3411.0,closed,60.7,1.8118
3,MCX_minute,long,2024-02-01 15:26:00,2024-02-02 15:29:00,3466.0,3648.35,1,3466.0,3648.35,closed,182.35,5.2611
20,MCX_minute,long,2024-02-20 15:26:00,2024-02-21 15:29:00,3718.75,3646.6,1,3718.75,3646.6,closed,-72.15,-1.9402
45,MCX_minute,long,2024-03-20 15:26:00,2024-03-21 09:19:00,3208.0,3248.83,1,3208.0,3248.83,closed,40.83,1.2729
66,MCX_minute,long,2024-05-02 15:26:00,2024-05-03 09:16:00,4084.0,4079.89,1,4084.0,4079.89,closed,-4.11,-0.1007
69,MCX_minute,long,2024-05-09 15:26:00,2024-05-10 15:29:00,3775.25,3812.0,1,3775.25,3812.0,closed,36.75,0.9734
94,MCX_minute,long,2024-06-19 15:26:00,2024-06-20 09:18:00,3872.25,3839.22,1,3872.25,3839.22,closed,-33.03,-0.853
96,MCX_minute,long,2024-06-24 15:26:00,2024-06-25 15:29:00,3849.95,3930.15,1,3849.95,3930.15,closed,80.2,2.0831
106,MCX_minute,long,2024-07-10 15:26:00,2024-07-11 09:17:00,3721.0,3700.87,1,3721.0,3700.87,closed,-20.13,-0.5411
124,MCX_minute,long,2024-08-01 15:26:00,2024-08-02 09:15:00,4380.8,4269.0,1,4380.8,4269.0,closed,-111.8,-2.552
136,MCX_minute,long,2024-08-14 15:26:00,2024-08-16 09:15:00,4389.0,4379.55,1,4389.0,4379.55,closed,-9.45,-0.2153
145,MCX_minute,long,2024-09-02 15:26:00,2024-09-03 15:29:00,5176.8,5204.95,1,5176.8,5204.95,closed,28.15,0.5438
168,MCX_minute,long,2024-10-09 15:26:00,2024-10-10 15:29:00,6109.95,6181.0,1,6109.95,6181.0,closed,71.05,1.1629
200,MCX_minute,long,2024-11-22 15:26:00,2024-11-25 09:17:00,6198.35,6242.54,1,6198.35,6242.54,closed,44.19,0.713
205,MCX_minute,long,2024-11-28 15:26:00,2024-11-29 09:15:00,6118.6,6057.41,1,6118.6,6057.41,closed,-61.19,-1.0
207,MCX_minute,long,2024-11-29 15:26:00,2024-12-02 15:29:00,6201.3,6319.65,1,6201.3,6319.65,closed,118.35,1.9085
210,MCX_minute,long,2024-12-09 15:26:00,2024-12-10 15:29:00,6852.95,6690.0,1,6852.95,6690.0,closed,-162.95,-2.3778
214,MCX_minute,long,2024-12-12 15:26:00,2024-12-13 09:16:00,6682.35,6615.53,1,6682.35,6615.53,closed,-66.82,-1.0
